"","vwti","swti","cwti","ei","class"
"2",0.701395409211864,0.692589252638945,0.273082473560644,0.586595379033798,"0"
"4",0.654263029227874,0.723019528750557,0.232952376849678,0.470263782427235,"0"
"5",0.518946844644441,0.409197483975498,0.454797423912809,0.612417141766006,"0"
"8",0.595227484152911,0.356329537843269,0.555388890085511,0.633511006846886,"0"
"11",0.557692058066331,0.706295674039372,0.279417580287333,0.622364494394283,"0"
"16",0.707046275663631,0.43312366462486,0.426825769487583,0.746948907498841,"0"
"20",0.731527594487593,0.75679502482722,0.224117862450729,0.442608909135547,"0"
"21",0.755082967353915,0.686365796435507,0.268921101944989,0.639789410513107,"0"
"24",0.545193518378297,0.708711416779234,0.293126844293191,0.575804031752094,"0"
"31",0.49396577461437,0.505226176533319,0.463456178516811,0.67478054502305,"0"
"32",0.569101962226597,0.59066107383806,0.422131949081354,0.693052729207016,"0"
"34",0.462942258183156,0.720511736333804,0.381358261356538,0.401058403120653,"0"
"50",0.57544079787119,0.582996254401359,0.410947939776423,0.671112359857061,"0"
"53",0.640789217489129,0.639999700651457,0.323334525168544,0.584833192394773,"0"
"59",0.640464703718928,0.41695659820316,0.454753483964073,0.720354074033662,"0"
"65",0.738441901218008,0.578907901678971,0.306812845973248,0.751749911345099,"0"
"67",0.703969885122125,0.417699730960497,0.407934176233657,0.683810796802968,"0"
"68",0.609562339095256,0.723253020613889,0.257049561677472,0.514989497804086,"0"
"69",0.548008567163533,0.683994955977055,0.329336205225408,0.521198068687089,"0"
"87",0.455751465720529,0.551962042604781,0.531358907532255,0.722120079653018,"0"
"88",0.5426056292322,0.662206123922813,0.358392659443858,0.657003191576421,"0"
"89",0.68295437336391,0.446457397089584,0.390151420509617,0.703140838538967,"0"
"104",0.649204941263008,0.405621017261185,0.439560600512633,0.653405166534821,"0"
"106",0.658036042662744,0.537049994948493,0.388246494496737,0.783916637115033,"0"
"107",0.604807130649244,0.748665466777925,0.245420983479441,0.406279494803459,"0"
"111",0.677437639270493,0.408919089830756,0.433049733990997,0.660388990425271,"0"
"114",0.687242281980832,0.662253271318294,0.303535442738062,0.707867645053057,"0"
"118",0.595911126495468,0.661788532705699,0.33221530574881,0.693123107558853,"0"
"126",0.634247019881877,0.670894715375664,0.305218084304392,0.683881175154805,"0"
"132",0.726677195335655,0.703879931299509,0.261898464255713,0.584058484955945,"0"
"137",0.739995240464704,0.721764509985145,0.208901716673487,0.4524891568237,"0"
"139",0.731505960236246,0.745829887706878,0.230207422405066,0.432875964974495,"0"
"145",0.671202648032365,0.737188443649508,0.236961250996188,0.435980250415996,"0"
"151",0.701343487008632,0.693936321081247,0.274168048764727,0.579753948552879,"0"
"173",0.431352357051684,0.533147986693957,0.564843733172507,0.718167435009138,"0"
"179",0.499013910823616,0.469314903441386,0.551977082301247,0.685574620147849,"0"
"181",0.575773965341929,0.576909750156223,0.34253576582592,0.658343108104422,"0"
"189",0.702200203361963,0.427780293137061,0.410769595278609,0.681482855506151,"0"
"190",0.62310538043831,0.396236440446478,0.508791866801646,0.63478054502305,"0"
"193",0.567777946044177,0.507316826755773,0.444631787537424,0.698625712649009,"0"
"195",0.403409558012245,0.787131006147871,0.354827061839016,0.252625548978423,"0"
"202",0.677887631698505,0.428525671008468,0.428575613328451,0.680989115906053,"0"
"206",0.712723103217013,0.55934846789674,0.329823421715812,0.751111596060995,"0"
"219",0.497460138891894,0.680465636658223,0.367804079522692,0.468643443629122,"0"
"220",0.448452069316141,0.739745628575812,0.260303702586857,0.346452440055648,"0"
"222",0.609393591934751,0.654402107413741,0.31706687918668,0.678801931312911,"0"
"230",0.742435584016615,0.543971681627857,0.337707644258729,0.771570419269484,"0"
"238",0.673037232546568,0.460904706133277,0.404612833049734,0.726631932131264,"0"
"240",0.608337840469031,0.722693987210334,0.254480367027807,0.502223192121989,"0"
"248",0.593821257815373,0.486921986027907,0.47134210696362,0.650371259445157,"0"
"249",0.521134500140623,0.525157625717033,0.356201348353329,0.642117897378543,"0"
"260",0.635930164636653,0.560742683734523,0.391257673336636,0.685503696227393,"0"
"261",0.667957510330355,0.671033912448035,0.293170784241928,0.614674704710985,"0"
"262",0.64124353676741,0.574123563594727,0.352058845068602,0.709912981805287,"0"
"264",0.720524414252645,0.670986765052555,0.251732827880328,0.603033361521045,"0"
"271",0.670925729615127,0.73421591262016,0.226265750533095,0.398166889440519,"0"
"277",0.680025095731562,0.505505019700876,0.348360135266117,0.69432226738318,"0"
"294",0.588382407026805,0.50922159769801,0.461109268313697,0.64783163752421,"0"
"296",0.597572636998897,0.64571351596089,0.321695565080664,0.544690253416623,"0"
"297",0.506950176319149,0.667549495410613,0.283537596657118,0.49446520636133,"0"
"300",0.60390714579322,0.712148686421176,0.252841665410214,0.595488147521755,"0"
"316",0.518945113904334,0.409197483975498,0.454797423912809,0.612417141766006,"0"
"317",0.752858966315471,0.627781789879774,0.278220862859974,0.670477427098393,"0"
"320",0.632338878913095,0.559721156832443,0.371414909427704,0.664339834692709,"0"
"321",0.5271791099669,0.435956998581836,0.416484373317251,0.612629913527374,"0"
"327",0.497731432403782,0.364133554352341,0.552641350938032,0.583349245751384,"0"
"330",0.578205655193302,0.574541154811841,0.411700088310681,0.672382225374397,"0"
"334",0.634545572550462,0.639721306506715,0.278975596097099,0.630053738508961,"0"
"340",0.583471431971097,0.660906202875991,0.336888223662955,0.687902561444666,"0"
"347",0.681980832053307,0.519767555856567,0.379719559738945,0.71633323331242,"0"
"352",0.5271791099669,0.435956998581836,0.416484373317251,0.612629913527374,"0"
"356",0.495328732449214,0.689569574214117,0.385346457880113,0.454393191303636,"0"
"360",0.404136468857495,0.767805064228972,0.383751696211256,0.37311983414714,"0"
"363",0.580213313718279,0.617050144622765,0.390593404699851,0.700530292697564,"0"
"373",0.536852649114077,0.7600010477199,0.300899045813858,0.444163779699392,"0"
"376",0.530158579062372,0.751081209517787,0.300743963641846,0.430262691289997,"0"
"380",0.68976916253813,0.565248627674025,0.3491797445452,0.686068359747947,"0"
"386",0.607325357506004,0.677398810837914,0.337043246386801,0.571357647508115,"0"
"391",0.489003742725483,0.69533053691903,0.286970082064316,0.484514034752721,"0"
"400",0.633186941565887,0.635446609316475,0.343753677816788,0.60331705720287,"0"
"401",0.561162191982347,0.505737164495766,0.504405626036574,0.625256553643034,"0"
"403",0.589710750059494,0.664994555598379,0.351549400133543,0.702576175018413,"0"
"412",0.677978495554161,0.51953518655027,0.371836215995003,0.754641425025233,"0"
"417",0.692845553079636,0.758606831882117,0.231026773213863,0.434283532011239,"0"
"425",0.588767496700777,0.652821547108106,0.339014314946044,0.698061594697073,"0"
"430",0.615048785236787,0.398048247501375,0.501350507247938,0.643669494530675,"0"
"431",0.57259373039396,0.651707970529136,0.331905141404786,0.534886385335116,"0"
"434",0.601146615321377,0.7254824188859,0.256186270919939,0.518164707166044,"0"
"445",0.56246024706315,0.646598090904669,0.348648071165486,0.693546468807114,"0"
"456",0.620150141704346,0.738582659487291,0.247680013785082,0.447759076897897,"0"
"457",0.591268416156459,0.551079712775073,0.405101341891572,0.692206006710494,"0"
"461",0.546487246608831,0.697654229982002,0.301452172227368,0.586388062958619,"0"
"470",0.512697142115397,0.65533158463893,0.388667801064036,0.618766469352683,"0"
"472",0.521817709798152,0.663833831623929,0.363996812199798,0.629489620557026,"0"
"482",0.626982238279644,0.720278244470471,0.251246903741357,0.60902916064268,"0"
"485",0.709932284793285,0.556562281335244,0.340165851767291,0.756616383425625,"0"
"490",0.62687839387318,0.5734253331188,0.341716156546837,0.697567309528356,"0"
"491",0.588300196871687,0.644878333526663,0.343355116634717,0.554357729343408,"0"
"496",0.499238907037622,0.740953499945743,0.240683223124475,0.332556807332442,"0"
"509",0.723713302901153,0.501184522183598,0.348183083119736,0.72084781363376,"0"
"513",0.620003028795189,0.750661373186603,0.248765588989166,0.438942688016585,"0"
"520",0.654708694805616,0.663461142688225,0.309314838348375,0.62645625903598,"0"
"527",0.600285572117777,0.676608530685097,0.302294785361966,0.486210753157478,"0"
"529",0.661523483979837,0.542020677500589,0.371526051650979,0.771570419269484,"0"
"531",0.752313783181533,0.640138897723828,0.274346393262541,0.65298180528656,"0"
"534",0.50666135906367,0.660394316867916,0.364306976543822,0.615450503287051,"0"
"538",0.500093892650845,0.491985840813929,0.537138303142568,0.701377015194086,"0"
"541",0.676788611730091,0.516747652920332,0.394956383139122,0.78434218063777,"0"
"543",0.626856759621833,0.752845869177203,0.255299717836604,0.449313947461742,"0"
"546",0.682266404171084,0.401301417789536,0.423194261959636,0.63950735153714,"0"
"548",0.654613504099691,0.42127619767481,0.439361578391884,0.686068359747947,"0"
"549",0.584890638859442,0.647202026589634,0.362931914618649,0.55506151286178,"0"
"554",0.637414274279039,0.410174108596168,0.43546384646865,0.621799830873728,"0"
"562",0.490107089544166,0.494633952860088,0.534770715316518,0.705821762732208,"0"
"568",0.721969582242607,0.690546198834786,0.257757770262994,0.572770670231048,"0"
"570",0.583614218029985,0.357119817996086,0.553416761798092,0.636826427343899,"0"
"572",0.602128810332518,0.393773550311135,0.44755508647985,0.598237813360976,"0"
"575",0.555221426562534,0.714797921024371,0.282694983522519,0.622364494394283,"0"
"581",0.70837461869632,0.695469733991401,0.270448661339307,0.585045964156142,"0"
"582",0.419604958570409,0.774262012295742,0.326169168802636,0.236896805695736,"0"
"583",0.680163554940181,0.51823436745782,0.374271006095591,0.702012057066478,"0"
"585",0.519224195746706,0.662718009930888,0.354650009692636,0.635979704847377,"0"
"589",0.492671613698808,0.693053991251539,0.255630559803563,0.528465042690744,"0"
"593",0.546077061203297,0.56473898678002,0.451850862644582,0.67816688944052,"0"
"596",0.642450727992558,0.67159070073752,0.308940056432679,0.525011593333152,"0"
"599",0.552512818293923,0.676330136540354,0.347252848557951,0.500881093319512,"0"
"606",0.550790731886723,0.697097441692517,0.300433799297822,0.576295043509097,"0"
"608",0.753304631893214,0.737792379334473,0.212933853145799,0.429771679532993,"0"
"614",0.717794171732687,0.524691989058811,0.356621104098908,0.732349491257263,"0"
"617",0.675438634446055,0.663043551471111,0.296714411872402,0.63590932649554,"0"
"619",0.585145923025334,0.581231594741943,0.332503241648179,0.652064704438201,"0"
"621",0.654522640244035,0.40933668104787,0.428198246709889,0.67478054502305,"0"
"622",0.651602016312226,0.535004696030264,0.391945204299222,0.780179492075616,"0"
"628",0.591900136295784,0.519024198587823,0.455174790531372,0.64917209962083,"0"
"632",0.586885316833611,0.531103136798542,0.44587244491352,0.710759704301809,"0"
"637",0.597840901715596,0.370776846886962,0.545554095677085,0.647619956900079,"0"
"639",0.622447699197369,0.667502348015132,0.32142985762595,0.689172645189449,"0"
"642",0.545470869480562,0.640697931127384,0.385124173433562,0.648607981668894,"0"
"643",0.726759405490773,0.508524743027985,0.345060245115989,0.727199323494913,"0"
"652",0.632650412132488,0.40608575587378,0.489303207185474,0.697567309528356,"0"
"656",0.619630919672025,0.749547796607633,0.251115083895147,0.443951007938023,"0"
"657",0.445804036951301,0.7493143047443,0.380626790445215,0.508006219482255,"0"
"661",0.689699932933821,0.449663419982264,0.391878002024684,0.717884830464552,"0"
"662",0.499510633234537,0.663553192365115,0.360407952269154,0.629842603453449,"0"
"667",0.557756960820371,0.529337803604905,0.485426152885175,0.660036553097466,"0"
"677",0.517664798909634,0.66936130246551,0.328494625971956,0.601833110559481,"0"
"683",0.666183501719923,0.422021575546218,0.423416546406186,0.666032974167326,"0"
"684",0.692334984747853,0.42875691775773,0.431964158786913,0.707232603180665,"0"
"685",0.414880038076282,0.752194786096757,0.404966937342495,0.402471425843586,"0"
"701",0.674581918092724,0.64459993938192,0.284532707260861,0.662787801085682,"0"
"704",0.561443437249854,0.611289181917851,0.395910138496995,0.678660629040618,"0"
"719",0.681807758042533,0.630754320909122,0.289539276713981,0.679225292561172,"0"
"724",0.537083702918461,0.672567325358189,0.366364400025847,0.636967729616192,"0"
